Question,Answer
Do you need a degree to do an MBA?,"While a bachelor’s degree is a common requirement for MBA programs, some institutions offer pathways for individuals without a bachelor’s degree based on relevant work experience or related graduate certificates."
Why study an MBA?,"Studying an MBA offers benefits such as improved leadership skills, enhanced career prospects, a broader perspective on business, networking opportunities, personal growth, and the potential for a higher salary."
What does an MBA teach?,"An MBA teaches a wide range of business and management skills, including leadership, strategic thinking, problem-solving, financial management, marketing, and specialized knowledge based on chosen areas of study."
How long does it take to finish a part-time MBA?,"The time to complete a part-time MBA can vary significantly based on the program and individual progress. It may take several years, typically longer than a full-time MBA."
What is a weekend MBA?,A weekend MBA is a specialized MBA program designed for working professionals who can attend classes on weekends. It allows individuals to pursue higher education without disrupting their weekday work schedule.
How long is a full-time MBA?,"A full-time MBA program typically takes about two years to complete, although the duration can vary depending on the institution and specific program."
How many hours a week is an MBA?,"The number of hours per week for an MBA can vary based on the program and the number of units or courses taken, but a general guideline is around 12 hours per week per unit."
Can you study an MBA part-time?,"Yes, part-time MBA programs are available for individuals who want to balance their studies with other commitments, including work and personal life."
Can you complete an MBA while working full time?,"Yes, you can complete an MBA while working full time. Many MBA programs offer flexible study options to accommodate professionals with busy schedules."
Is it easy to get a scholarship for Masters in Australia?,"Gaining a scholarship for a master’s degree in Australia can be competitive, as they are often based on academic excellence. While applying for a scholarship is straightforward, meeting the high academic standards required can be challenging."
How do I get full funding for a Masters in Australia?,"To obtain full funding for a master’s degree in Australia, you can apply for a scholarship through the Online Australia Scholarships Information System. Scholarships are typically based on academic performance and other eligibility criteria."
Do I have to pay for Masters in Australia?,"Yes, if you’re planning to pursue a master’s degree in Australia, you will need to pay for it. However, various financial assistance options are available, including government loan schemes, scholarships, and other financing methods."
How do I pay for postgraduate study in Australia?,"Financing your postgraduate study in Australia involves several options. You can apply for a Commonwealth Supported Place (CSP), where the Australian Government subsidises part of your tuition fees. Alternatively, you can make use of the HECS-HELP and FEE-HELP loan schemes, which allow you to defer your payments until you start earning above a certain income threshold after completing your studies."
How many degrees can you put on HECS?,"There’s no set limit on the number of degrees you can study using HECS, but there is a financial limit on how much you can borrow, currently set at $113,028. This amount includes all debts from both undergraduate and postgraduate study under the HECS-HELP scheme."
Is Higher Education Loan Program (HELP) the same as HECS?,"Yes, the Higher Education Loan Program (HELP) is the same as the Higher Education Contribution Scheme (HECS). Both loan schemes were established by the Australian Government to help students manage their tuition fees. They offer support in paying for higher education, including master’s degrees."
Can you get a student loan for a masters in Australia?,"Yes, you can obtain a student loan for a master’s degree in Australia. The Higher Education Loan Program (HELP) encompasses various loan schemes, including HECS-HELP and FEE-HELP, which can assist you in financing your postgraduate studies. These schemes allow you to defer your payments until you reach a specific income level after completing your degree."
Is postgraduate study covered by HECS?,"Yes, postgraduate study is covered by HECS, meaning that a portion of the tuition fee is funded by the Australian Government, while the remainder is paid by you. This allows you to pay the tuition fee partially up-front or in full and then repay the remaining amount through a HECS-HELP loan once you start earning above a certain income threshold."
How do you become a CEO of a company?,"Becoming a CEO involves a strategic progression. Start with a bachelor’s degree in relevant fields like finance or management. Gain experience in management roles, hone leadership skills, and consider pursuing an MBA for advanced knowledge. Attend workshops, build networks, and continuously develop. As you advance, showcase your leadership in diverse roles, express interest in executive positions, and convey a clear strategic vision. Apply for CEO roles, navigate the selection process, and demonstrate your leadership acumen."
How do you become a CEO in Australia?,"The process of becoming a CEO in Australia is like the process in other countries. To enhance your prospects, consider accumulating work experience within Australian companies, fostering connections with local CEOs and industry leaders, engaging with industry associations and organisations in the Australian context, staying current with evolving Australian business trends, and deepening your understanding of Australian business laws and regulations. These steps will empower your journey toward CEO success within the distinctive framework of the Australian business landscape."
What skills do you need to become a CEO?,"Becoming a CEO requires a diverse skill set. Key skills include exceptional problem-solving ability to identify and address issues, effective teamwork to foster collaboration within the company, strong communication skills to interact with stakeholders, decisive decision-making especially in challenging situations, and the capacity to develop and implement strategic plans. Leadership skills, adaptability, and a willingness to embrace challenges are also crucial attributes."
What qualifications do most CEOs have?,"Most CEOs have at least a bachelor’s degree, typically in fields like finance, financial planning, accounting, management, logistics and supply chain management, business administration, or marketing. While some exceptional individuals may have succeeded without formal degrees, having a solid educational background paired with relevant experience greatly enhances your chances of becoming a successful CEO."
What qualifies you as a CEO?,"To qualify as a CEO, you need a combination of education, experience, and essential skills. A strong educational foundation, such as a relevant bachelor’s degree, is common. Moreover, accumulating years of experience in management roles, honing exceptional communication, decision-making, and problem-solving skills, along with the ability to convey and implement a vision for the business, are key qualifications that make you suitable for the role of a CEO."
What is the best degree for a financial advisor?,"The best degree for a financial advisor is the one that will give you the skills and knowledge you need to be successful in the field. Some common choices include a bachelor’s degree in finance, economics, or accounting. However, many financial advisors also choose to complete a graduate diploma or master’s degree in financial planning. Some popular choices include:  - Bachelor of Business – Accounting and Finance - Bachelor of Business – Finance - Masters of Business Administration (MBA)  Ultimately, the best degree for you will depend on your individual interests and goals."
What is the job of a financial advisor?,"The job of a financial advisor is to help people with their financial planning. This includes helping them set financial goals, develop a plan to achieve those goals, and make informed financial decisions. Financial advisors can help with a variety of financial matters, such as retirement planning, investment management, and estate planning."
What are the duties of a financial advisor?,"Financial advisors have various responsibilities, but they usually involve helping clients create financial plans, looking at financial information, giving advice, handling client investments, and staying updated on financial rules."
What kind of person can be a financial advisor?,"A financial advisor needs to be a good communicator, have strong analytical skills, and be able to build trust with clients. They should also be detail-oriented and have a strong work ethic."
Is it stressful to be a financial advisor?,"Yes, being a financial advisor can be stressful. Financial advisors are often under pressure to meet the needs of their clients, and they may be dealing with sensitive financial information. However, financial advisors who can manage their stress effectively can find the job to be very rewarding."
Is it hard being a financial advisor?,"Being a financial advisor can be challenging, but it is also rewarding. It requires a strong understanding of financial markets and products, as well as the ability to communicate complex financial concepts to clients. Financial advisors also need to be able to build trust with clients and manage their expectations."
How long does it take to make it as a financial advisor?,"It takes about three to four years to become a fully qualified financial advisor in Australia. This includes the time it takes to complete the required education, training, and experience."
How do I start being a financial advisor?,"To become a financial advisor in Australia, you need to meet the following requirements: Complete an approved bachelor’s degree (AQF7 level) comprising 24 subjects, or above or equivalent. Pass the financial advisor exam. Complete a professional year. Apply for registration with ASIC. ASIC will assess your application and determine if you meet the requirements to become a financial advisor. To maintain your registration, you will have to complete the continuing professional development (CPD) requirements."
What qualifications do I need to be a financial advisor in Australia?,"To become a financial advisor in Australia, secure an approved qualification at bachelor, graduate diploma, or master’s level, or an equivalent certification. Passing the Financial Advisor Examination (FAE) by ASIC is crucial, followed by a year of practical experience. If you hold a foreign qualification, you can seek assessment against local standards. A financial advisor needs to be a good communicator, have strong analytical skills, and be able to build trust with clients. They should also be detail-oriented and have a strong work ethic."
What is the main difference between a financial planner and a financial advisor in Australia?,"In Australia, financial planners create comprehensive plans with qualifications like CFP or FPA accreditation. They charge fees for their services. Financial advisors have narrower expertise and might specialize in investment or insurance. Their educational background typically includes a finance-focused bachelor’s degree."
What is the main difference between a financial planner and a financial advisor?,"The key difference lies in their services. Financial planners offer holistic financial plans covering various aspects like retirement, savings, debt, and estate planning. Financial advisors focus on specific areas, such as investment management or insurance."
"Which is better, a financial planner or advisor?","Choose between a financial planner and advisor based on your preferences. Financial planners build long-term relationships and comprehensive financial plans. Advisors focus on areas like wealth management and insurance. Consider your skills, interests, and personality to make the right choice. Both offer fulfilling finance careers with an average salary of $110,000 to $130,000."
What are the three major skills needed to run a business?,"Running a successful business demands a blend of skills that can steer your venture towards growth and prosperity. Here are three major skills that are paramount:  Leadership and Delegation: Effective leadership involves inspiring and guiding your team to work cohesively towards common goals. Delegation is crucial to distribute tasks efficiently and ensure each aspect of your business receives the attention it deserves.  Financial Acumen: Understanding your business’s financial health is fundamental. Proficiency in financial management, budgeting, and analysis empowers you to make informed decisions that drive profitability and sustainability.  Communication and Networking: The ability to convey your ideas clearly to customers, partners, and employees is essential. Effective communication fosters collaboration and builds strong relationships. Networking allows you to connect with potential clients, partners, and mentors who can contribute to your business’s success."
What should I study for small business?,"When it comes to preparing for a small business endeavor, consider honing your skills in areas that can make a significant impact on your success. While there isn’t a one-size-fits-all answer, focusing on business-related fields can be beneficial. Courses in business administration, finance, marketing, and management can provide a comprehensive toolkit for navigating the challenges of running a small business effectively. At Swinburne Online, our Bachelor of Business – Marketing programme can help you master contemporary marketing practices, including digital marketing, branding, and consumer behavior. If financial management is your forte, the Bachelor of Business – Finance program can empower you to make sound financial decisions and strategize for your business’s future. Remember, your chosen field of study should align with your strengths and the unique needs of your small business."
What degree is best for starting a business?,"Entrepreneurship is about innovation, adaptability, and managing various aspects of a business. Pursuing a degree in business administration, finance, marketing, or management can equip you with versatile skills. Swinburne Online offers excellent options to explore, such as our Bachelor of Business – Business Administration, which covers leadership, sustainable innovation, and more. Alternatively, our Bachelor of Business – Finance program delves into financial management, international trade, and economic principles, providing a solid foundation for managing the financial side of your business. Remember, while a degree can be advantageous, your passion and determination are the true driving forces behind your entrepreneurial journey."
What is the most versatile business degree?,"A Bachelor of Business is among the most versatile degrees you can pursue. This comprehensive program covers key areas like Accounting, Marketing, Finance, and more. It provides a well-rounded education, making you adaptable across industries and roles. This versatility ensures you’re equipped to tackle various challenges in the business world."
Which business degree is best in Australia?,"In Australia, the best business degree is one that aligns with your career goals and provides comprehensive skills. Degrees like Bachelor of Business, specializing in fields like Accounting, Finance, or Management, offer a strong foundation. However, the “best” degree is the one that resonates with your ambitions and equips you with practical knowledge for success."
What is the best type of business to major in?,"The best type of business major depends on your interests, strengths, and career aspirations. If you’re drawn to numbers, Accounting might be your calling. If you have a passion for creative problem-solving, Marketing could be your niche. Ultimately, the best major is one that aligns with your unique talents and fuels your enthusiasm to succeed."
What are the four advantages of studying business environment?,"Studying the business environment offers you a deeper understanding of the factors that influence organizational operations. Four key advantages include:  1. Insight into Market Dynamics: Understanding market trends and consumer behavior helps businesses adapt and thrive. 2. Adaptability: Learning about the business environment equips you with the flexibility to respond to changing conditions. 3. Strategic Decision-Making: Analyzing the business environment guides informed choices that align with organizational goals. 4. Competitive Edge: Businesses that comprehend their environment can anticipate challenges and seize opportunities, gaining a competitive edge."
What are the benefits of doing business?,"Doing business goes beyond mere transactions; it’s about fostering connections, driving innovation, and contributing to economies. A business education equips you with knowledge that ranges from financial acumen to effective management. This knowledge empowers you to make informed decisions, foster relationships, and create value in diverse contexts."
How can studying business be beneficial for your future?,"Studying business sets you on a path of growth and versatility. By acquiring skills in communication, leadership, and critical thinking, you’ll be well-prepared to navigate the complexities of the modern business world. Whether you’re aiming for a specialized role or aspire to start your own venture, a business education provides a foundation for success."
Why study business courses in Australia?,"Studying business courses in Australia offers a gateway to a world of opportunities. Not only does Australia boast a vibrant business landscape, but its renowned educational institutions provide quality business programs. From diverse majors to practical experience, Australian universities offer a comprehensive education that equips you with the skills needed to thrive in various industries."
Do people with business degrees get jobs?,"Yes, absolutely. Pursuing a business degree significantly improves your employability. Graduates with business degrees possess practical skills, critical thinking abilities, and a deep understanding of organizational dynamics. At Swinburne Online, we offer not only quality education but also valuable resources and workshops to support your career journey, ensuring you’re well-equipped to secure a fulfilling job after graduation."
What career outcomes can you get with a business degree?,"A business degree can pave the way for an array of rewarding career outcomes. You might find yourself excelling as an Accountant, Financial Controller, Marketing Specialist, Supply Chain Manager, or even in Leadership roles like General Manager or Operations Manager. The versatile skills you gain from a business degree open doors across numerous industries."
What job can you get with a business degree in Australia?,"With a business degree in Australia, you have a wealth of opportunities across diverse industries. You could become a Financial Analyst, Marketing Manager, Project Manager, Human Resources Manager, or even an Entrepreneur starting your own business venture. Australia’s dynamic business landscape welcomes business graduates into roles that span various sectors."
What pays the most with a business degree?,"A business degree can open doors to a variety of well-paying career paths. Some of the roles that tend to offer competitive salaries include Financial Analysts, Marketing Managers, and Information Systems Managers. Your earning potential can also be influenced by factors such as your specialisation, industry demand, and your level of experience."
What will I learn in a business management degree?,"In a business management degree program, you’ll learn about leadership, organisational behaviour, strategic planning, project management, and more. You’ll develop skills to manage people and make informed business decisions."
What is the definition of a business management degree?,"A business management degree equips you with the skills to lead and manage teams effectively. It focuses on decision-making, communication, strategic planning, and fostering a productive work environment."
What are examples of business management?,"Examples of business management roles include project manager, human resources manager, logistics manager, and general manager. These roles involve overseeing various aspects of business operations."
What is the meaning of business management?,"Business management involves leading and directing teams, making strategic decisions, and ensuring that a business’s goals are met. It emphasises effective leadership and problem-solving skills."
What are the main topics in business administration?,"Business administration covers a wide range of topics, including leadership, organisational behaviour, sustainable innovation, data management, commercial law, and strategic planning."
What is the meaning of a degree in business administration?,"A degree in business administration equips you with a comprehensive understanding of how businesses function. It covers topics such as leadership, organisational behaviour, strategic planning, and more."
What is an example of business administration?,"An example of business administration is managing financial records, coordinating office operations, and organising resources to ensure the company’s overall efficiency."
What does a Business Administrator do?,"A Business Administrator is responsible for maintaining the operational aspects of a business. This can include tasks such as analysing finances, coordinating training programs, and ensuring smooth workflow."
What is the difference between management and administration?,"Management often involves leading and guiding individuals or teams towards achieving organisational goals. Administration, on the other hand, focuses on overseeing day-to-day operations, ensuring efficiency, and implementing strategies to keep the business running smoothly."
What is the difference between business administration and business management?,"Business administration and business management are related fields, but they have distinct focuses. Business administration often deals with the operational side of running a business, while business management emphasises leadership, decision-making, and people management."
What support can I expect?,"As a Swinburne Online student, you’ll have support for extended hours, seven days a week, with Student Advisors available to help with anything from tech support to research advice and dedicated online tutors in each of your units. Learn more about your support."
Is an MBA too advanced for someone who has never studied?,"Yes, Swinburne Online’s MBA is a postgraduate degree, meaning that previous tertiary study is an entry requirement for the course. If you have not studied at a tertiary level before, you may seek entry into the course via the Graduate Certificate of Business Administration. See the entry requirements for more information."
"As I am studying online, can I pursue full-time opportunities throughout my studies?","Yes, there are no requisite live or in-person sessions, so you can elect to study anytime, anywhere. If you find the combination of full-time work and full-time study to be too much, you can choose to study part-time."
Do these degrees provide any networking opportunities?,"When you complete an MBA with Swinburne Online, you will be rewarded with not only a top-tier master’s qualification, but also a valuable network of like-minded business professionals. Forge connections, motivate one another and share opportunities and ideas that you can continue to draw upon long after graduation."
How will Swinburne prepare me for future job opportunities?,"Your Master of Business Administration will give you the decisive vision and professional agility needed to stand apart from your peers. Gain the advanced skills essential to excelling as a leader in business. Leverage your MBA to grow your business as an entrepreneur, or step up into a senior management position."
"With an MBA, does the institution matter?","Different universities structure their MBAs in different ways. Swinburne Online’s MBA is highly flexible, meaning that you can tailor the course content to suit your specific interests and career goals. Additionally, Swinburne University’s MBA has a Tier-1 rating and is in the top Online MBAs in CEO Magazine’s 2022 Global Rankings, and is accredited by the Association to Advance Collegiate Schools of Business (AACSB), a globally recognized business school standard achieved by less than 5 per cent of business schools worldwide. When you complete your MBA with Swinburne Online, you will receive the same globally recognized MBA as on-campus students, without having to attend any in-person or live teaching sessions."
As a business leader/owner what value can an MBA add that I do not gain in my current vocation?,"An MBA will enhance your professional skillset and give you the tools to grow your customer base, output and profit margin. With new insights into contemporary business practice, you will be ready to strategically upscale your processes and take your business to the next level."
What job opportunities require an MBA?,"An MBA signals to employers your readiness for a senior management position. An MBA is an advantage or requirement for employment in the following roles: Senior Associate, Strategic Manager, Executive General Manager, Managing Director, Chief Operating Officer, Chief Executive Officer (CEO)."
What is the likelihood of employment with an MBA?,"A survey of recent Swinburne Online graduates revealed that 90 per cent of Business alumni were employed full-time. This comes as no surprise as the 2021 GMAC Corporate Recruiters Survey revealed that worldwide, 91 per cent of recruiters planned to hire MBAs that year, and that demand for graduate management talent has now returned to pre-pandemic levels."
Is there a pay increase between undergraduate and MBA students?,"In 2020, the Australian Government Department of Education, Skills and Employment Graduate Outcomes Survey found that working professionals without a postgraduate degree received a median salary of $64,000 per year, while those with a postgraduate degree in addition to their undergrad degree earned on average $98,000 per year. The Australian Financial Review reported in its 2019 MBA Rankings that Australian MBA graduates see an average salary increase of 28 per cent to reach $157,000 within three years of completing their course."
Why should I choose Swinburne over different providers?,"Swinburne University’s MBA has a Tier-1 rating and is in the top Online MBAs in CEO Magazine’s 2022 Global Rankings. It is also accredited by the Association to Advance Collegiate Schools of Business (AACSB), a globally recognized business school standard achieved by less than 5 per cent of business schools worldwide. When you complete your MBA with Swinburne Online, you will receive the same globally recognized MBA as on-campus students, without having to attend any in-person or live teaching sessions. Swinburne Online’s MBA is highly flexible, meaning that you can tailor the course content to suit your specific interests and career goals."
What quantitative value can I hope for in taking on an MBA?,"A survey of recent Swinburne Online graduates revealed that 90 per cent of Business alumni were employed full-time. This comes as no surprise as the 2021 GMAC Corporate Recruiters Survey revealed that worldwide, 91 per cent of recruiters planned to hire MBAs that year, and that demand for graduate management talent has now returned to pre-pandemic levels. With a new job title, you can expect an increased salary. Australian Financial Review reported in its 2019 MBA Rankings that Australian MBA graduates see an average salary increase of 28 per cent to reach $157,000 within three years of completing their course."
Is STARS paid?,All students enrolled into the STARS program will receive a $900 Stipend to assist with the cost of their study or professional placement.
Are STARS placements extra placements or part of my course?,The STARS professional placements are part of the required professional placements in your course. They are not extra placements.
Can I complete my two STARS placements in the school that I am doing Permission To Teach (PTT) work?,"You will be able to complete your final two placements through the STARS program at your school. You will also be able to continue with PTT across the year. For example, it may be that you have a split, perhaps three days in STARS and two days in PTT. The STARS part would need to be supervised and would also allow you to do the GTPA (final placement assessment). After you have submitted your application for the STARS program, please reach out to Jade on this email address: edpartnerships@swinburneonline.com and she will be able to assist you in negotiating this with your school."
"When Swinburne matches the student to the placement school, what is the criteria for travel expectations?","Swinburne will try to match you to a school as close as possible to your usual place of residence. The maximum travel time from your home to the school will be 90 minutes however, every endeavour will be made to try to ensure it is less than this."
When do the STARS Canvas modules open? Would I be able to have access to them at the start of the teaching period?,"The STARS modules remain open all the time, so you will be able to complete the module work at a time that suits you. There are five modules, each with approximately 1.5–2 hours of reading and activities. Allow 7.5–10 hours in total to complete the STARS modules."
What will I receive at completion of this program?,You will receive a certificate of completion outlining your completion of the program. This certificate will be a valuable addition to your resume when applying for graduate teaching positions.
Will there be any financial support for travel or accommodation to undertake a placement in regional or remote Victoria?,"No, all costs associated with travel or accommodation will be incurred by the pre-service teacher. We hope to match pre-service teachers with a school in their area. If you are a successful applicant, and there may be travel involved for you to get to the school. We will discuss with you the situation before matching you to the school."
"I have secured a placement in a school setting that is not a regional, remote, or low socioeconomic school. If I am successful in my application will you help me change to a STARS-approved school setting?",We will be open to discuss this with you further.
I am a Master of Teaching (Secondary) student applying for the STARS program. Does it matter the year level of placement or my Specialist Teaching Area?,"No, we will work with the schools upon a successful application."
What if I have already organized my placement/s? Can I still participate in the program?,"Provided your secured placement is in a regional, rural, or low socioeconomic Victorian school and you have been successful in your STARS application, Swinburne can support negotiations with your placement setting to ascertain if they wish to be part of the program."
How do I organise a placement in a STARS-approved school setting?,Victorian Department of Education and Training (DET) will be supporting Swinburne to access and source the placement schools on your behalf.
What schools can I do my placement in as part of the STARS program?,"The STARS program placement schools can be in regional and rural or low socioeconomic schools in Victoria that will be selected by Swinburne, with pre-service teachers matched to schools."
How many practicums will I need to complete during the STARS program?,"During the year the program runs (mid-year 2022 to mid-year 2023), you must undertake both remaining placements (or the one remaining), in your course during this time."
How will the STARS program fit in with my current units of study?,"This program will run alongside your current units of study. You will be enrolled into a STARS program unit. The unit is at no cost to you. Introductions to the STARS program are planned to commence in late May/early June. The STARS unit will commence from June. There are five modules of additional study and activities supported by academic teacher mentors. Engagement with the modules will be periodic, and is planned to occur between June to October 2022. The workload per module is anticipated to be approximately 10 hours over two to three weeks for each module. More specific details will be provided to successful applicants."
How many pre-service teachers can participate in the STARS program for 2022–2023 year?,This opportunity is only open to 75 students and therefore a rigorous selection process will take place.
When does the STARS program commence?,"The STARS program commences mid-year 2022 (TP2, Q3)."
What if I want to continue studying after 1 December 2020?,"You can. If you wish to continue studying the course after 1 December 2020, you will be eligible for a Commonwealth Supported Place for the rest of your studies."
Can I enrol in a Professional Certificate?,"Not exactly. The federal government is providing discounts for students who are enrolled in qualifications recognised by the Australian Qualification Framework. This means, to ensure you receive the discounted course fee, you need to enrol in at least a graduate certificate level qualification. If you only complete the first two units, Swinburne is ensuring that you still receive a qualification by awarding you a professional certificate."
What is a Professional Certificate?,"Professional Certificates are generally the first two units of a Graduate or Undergraduate Certificate and provide you with solid introductory knowledge, as well as contributing to the higher degree should you wish to continue studying later. Professional Certificates are a good way of upskilling quickly and providing you with an opportunity to start your education journey at a discounted fee."
What if I only want to complete two units?,"If you enrol in the Graduate Certificate, you can choose to complete your studies after the first two units and exit with a University-accredited Professional Certificate."
Can I obtain help to defer payment?,"Yes, students can defer their payment though a HECS-HELP loan."
How do I ensure I’m enrolled with a discounted fee?,Your discounted fee will be applied at the time of enrolment.
Why are these courses discounted?,"Swinburne University has worked with the Federal Government to provide short, focused online courses to workers displaced by the COVID-19 crisis. These courses have been significantly discounted to allow you to complete study during the next 6 months and support your future employment opportunities."
What is the entry criteria?,Undergraduate Certificate of Information and Communication Technology Teaching Period 2 July – November COS10005 Web Development ICT10001 Problem Solving with ICT Teaching Period 3 November – February INF10002 Database Analysis and Design INF10003 Introduction to Business Information Systems Graduate Certificate of Management (Workplace Transformation) Teaching Period 2 July – November HRM60016 Behaviour in Organisations INF80042 Technology Essentials for Managers Teaching Period 3 November – February FST80008 Designing for Change MGT60044 Leading Innovation in the Workforce
What units will I study?,Undergraduate Certificate of Information and Communication Technology Teaching Period 2 July – November COS10005 Web Development ICT10001 Problem Solving with ICT Teaching Period 3 November – February INF10002 Database Analysis and Design INF10003 Introduction to Business Information Systems Graduate Certificate of Management (Workplace Transformation) Teaching Period 2 July – November HRM60016 Behaviour in Organisations INF80042 Technology Essentials for Managers Teaching Period 3 November – February FST80008 Designing for Change MGT60044 Leading Innovation in the Workforce
Is the whole course discounted?,"Units you complete prior to 1 December are discounted, so this includes the two units available in Teaching Period 2, 2020. If you continue studying following Teaching Period 2, you can do so with a Commonwealth Supported Place, rather than the standard full fee unit fee."
Will you be offering courses as part of the government’s higher education relief package?,"Yes, we will be offering a range of courses as part of this initiative. Read more about our priority course program."
Will I receive the same qualification as an on-campus student?,"When students graduate from our courses, they will receive the same accredited qualification as a Swinburne University of Technology on-campus student. The graduation certificate awarded will also be the same. Our courses and learning outcomes are the same as Swinburne University of Technology’s, but we adapt the material and its delivery to enable students to enjoy the most engaging online environment."
Will I receive credit for my previous studies?,"We can potentially offer students unit exemptions for our undergraduate courses, based on diploma and higher education qualifications undertaken within the last 10 years. Previous studies don’t necessarily need to be related to the field you’re looking to pursue with us to make you eligible for exemptions. We can also award unit exemptions towards our postgraduate courses, where previously completed studies are considered academically equivalent (i.e. postgraduate level) and have been completed within the last 10 years. TAFE students may be eligible to receive credit for previous study and work experience. If you’ve completed units or certificates at another recognised institute or training organisation, you may be able to apply for a credit transfer. Alternatively, if you have significant work experience related to your studies, you can apply to have this recognised through recognition of prior learning."
Will I need to be screened to work with children?,Anyone who works with children in Australia must have a valid Child Safety Screening Check. To ensure your placements run smoothly and there are no delays in your course progression make sure you complete the Child Safety Screening Check requirements for your state as soon as you enrol. You will have access to instructions for your state once you’re enrolled in your course.
Will I need to attend placements to complete the Diploma of Nursing?,"The majority of your learning will be completed online, however you will also have the opportunity to attend Simulation Labs and Clinical Placements during your course. These aspects incorporate essential practical and experiential learning elements to your learning and better prepare you for working as a nurse. Students are required to achieve a minimum of 400 hours of Clinical Placement throughout the course’s two-year duration."
Will I have to sit exams in the Diploma of Nursing?,"Yes, some of your units in the Diploma of Nursing course require you to sit exams. More information about exams and your study support options will be discussed on orientation day."
Will I ever need to go to a campus?,"We provide you with everything you need to complete your studies online, however, you have access to all the facilities the campus has to offer."
Will I be studying alone?,"We know how important it is to have a supportive and collaborative network around you when you’re studying. When you choose your units, we’ll enrol you into an online class of 20-25 students. Small class sizes ensure that you receive quick and effective feedback from tutors. You will also be encouraged to collaborate on discussion boards with other students."
Will I be charged interest on my HECS-HELP loan?,"There is no interest charged on a HECS‑HELP loans, but your debt will be indexed each year. The indexation adjustment is made by the Australian Taxation Office on 1 June each year and applies to the portion of your debt that has been unpaid for 11 months or more. For more information see Interest and indexation."
